candidate_id,activity_id,candidate_title,product_hypothesis,primary_friction,product_territory,target_participant,target_context,seasonal_tags,fact_status,research_state,score_basis,hard_gates_passed,evidence_ids,known_contradictions,next_falsification_test,created_at,last_scored_at,behavior_frequency,friction_severity,workaround_strength,complaint_repetition,product_simplicity,shipping_fit,margin_potential,return_risk_inverse,community_reachability,competition_gap,seasonal_timing,expansion_potential,risk_inverse
nc-001,act-fishing-bank-fishing,wet-hand tackle change station,"Tethered, one-hand small-parts workspace for changing lures from a bank or pier",small_parts,tethered_workstation,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,4,2,4,5,3,4,5,2,3,4,4
nc-002,act-walking-bad-weather-walking,glove-operable dog-walk carry system,"One-hand system integrating waste bags, light, keys, treats, and phone access",occupied_hand,animal_outing_system,ordinary participant or hobbyist,outdoor repeated-use context,fall;winter;rain,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,5,3,5,3,4,5,3,3,4,5,3
nc-003,act-walking-trail-running,high-mobility low-bounce shorts,Running shorts with mapped split/gusset construction and stable side storage,movement_restriction,articulated_apparel,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,2,4,3,4,5,3,4,4,5,3,4
nc-004,act-outdoor-youth-soccer-spectating,portable sideline micro-shelter,"Compact warmth, ground isolation, and rain protection for stationary spectators",stationary_exposure,thermal_transition,ordinary participant or hobbyist,outdoor repeated-use context,fall;winter;spring,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,3,5,4,5,3,4,5,5,3,4,3
nc-005,act-camping-family-camping,indexed after-dark setup kit,Task-lighting and color/index system for shelter setup after dark,setup_complexity,task_lighting,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,4,2,5,3,4,5,3,2,4,5,4
nc-006,act-garden-vegetable-gardening,wearable kneel-and-tool interface,Kneeling support that travels with the user and holds frequently switched tools,body_support,ground_interface,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,5,3,3,4,5,3,4,3,5,3,3
nc-007,act-cycling-bike-commuting,office-transition wet/dry module,Removable bike-to-office module isolating wet clothing and helmet accessories,wet_dry_transition,wet_dirty_containment,ordinary participant or hobbyist,outdoor repeated-use context,all-season;rain,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,2,4,4,5,3,4,5,4,3,4,4
nc-008,act-paddling-beach-days,sand-isolating wet gear carrier,"Modular carrier separating sand, wet textiles, footwear, and clean items",dirty_clean_transition,wet_dirty_containment,ordinary participant or hobbyist,outdoor repeated-use context,summer,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,3,5,5,3,4,5,3,5,4,5,3
nc-009,act-camping-rv-camping,indexed hookup and teardown organizer,"Sequenced cable, hose, glove, and adapter modules for arrival/departure",checklist_failure,seasonal_storage,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,4,2,3,4,5,3,4,2,5,3,4
nc-010,act-picnic-farmers-market-vending,portable wind-resistant display hardware,"Compact stabilization and attachment system for signs, covers, and light displays",wind_stability,wind_stabilization,ordinary participant or hobbyist,outdoor repeated-use context,spring;summer;fall,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,3,4,5,3,4,5,3,4,5,3,3,4,3
nc-011,act-garden-firewood-carrying,debris-containing wood sling,Load-distributing sling that closes for bark containment during indoor transition,carry_load,modular_carry,ordinary participant or hobbyist,outdoor repeated-use context,fall;winter,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,4,5,2,4,5,3,4,5,3,4,4,5,4
nc-012,act-nature-birdwatching,silent optic access harness,Quiet weather-protected binocular and phone access without opening a pack,silent_access,body_mounted_access,ordinary participant or hobbyist,outdoor repeated-use context,all-season,hypothesis,seed,seed_prior,false,,,Collect 10 independent complaints and 3 workaround examples before concept testing.,2026-07-19,2026-07-19,5,3,3,5,3,4,5,3,4,5,5,3,3
