seed_id,activity_id,domain,activity,participant,task,context,environmental_constraints,body_or_hand_state,friction_family,friction_hypothesis,observed_workaround_hypothesis,product_territory,seasonal_tags,shared_predicates,fact_status,risk_flags,research_status,created_at,last_verified_at
seed-0001,act-walking-neighborhood-walking,walking_running_movement,Neighborhood walking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0002,act-walking-neighborhood-walking,walking_running_movement,Neighborhood walking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0003,act-walking-neighborhood-walking,walking_running_movement,Neighborhood walking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0004,act-walking-bad-weather-walking,walking_running_movement,Bad-weather walking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0005,act-walking-bad-weather-walking,walking_running_movement,Bad-weather walking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0006,act-walking-bad-weather-walking,walking_running_movement,Bad-weather walking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0007,act-walking-dog-walking,walking_running_movement,Dog walking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0008,act-walking-dog-walking,walking_running_movement,Dog walking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0009,act-walking-dog-walking,walking_running_movement,Dog walking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0010,act-walking-commuter-walking,walking_running_movement,Commuter walking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
